"date","age_group","deaths_boost_vac_rate_7ma","deaths_full_vac_rate_7ma","deaths_not_full_vac_rate_7ma"
2021-03-16,"0-4yrs",0.00,0.00,0.00
2021-03-16,"5-11yrs",0.00,0.00,0.00
2021-03-16,"12-17yrs",0.00,0.00,0.00
2021-03-16,"18-39yrs",0.00,0.00,0.00
2021-03-16,"40-59yrs",0.00,0.00,0.03
2021-03-16,"60+",0.00,0.00,0.27
2021-03-16,"ALL",0.00,0.00,0.07
2021-03-17,"0-4yrs",0.00,0.00,0.00
2021-03-17,"5-11yrs",0.00,0.00,0.00
2021-03-17,"12-17yrs",0.00,0.00,0.00
2021-03-17,"18-39yrs",0.00,0.00,0.00
2021-03-17,"40-59yrs",0.00,0.00,0.03
2021-03-17,"60+",0.00,0.00,0.26
2021-03-17,"ALL",0.00,0.00,0.07
2021-03-18,"0-4yrs",0.00,0.00,0.00
2021-03-18,"5-11yrs",0.00,0.00,0.00
2021-03-18,"12-17yrs",0.00,0.00,0.00
2021-03-18,"18-39yrs",0.00,0.00,0.00
2021-03-18,"40-59yrs",0.00,0.00,0.04
2021-03-18,"60+",0.00,0.00,0.27
2021-03-18,"ALL",0.00,0.00,0.08
2021-03-19,"0-4yrs",0.00,0.00,0.00
2021-03-19,"5-11yrs",0.00,0.00,0.00
2021-03-19,"12-17yrs",0.00,0.00,0.00
2021-03-19,"18-39yrs",0.00,0.00,0.00
2021-03-19,"40-59yrs",0.00,0.00,0.04
2021-03-19,"60+",0.00,0.00,0.26
2021-03-19,"ALL",0.00,0.00,0.07
2021-03-20,"0-4yrs",0.00,0.00,0.00
2021-03-20,"5-11yrs",0.00,0.00,0.00
2021-03-20,"12-17yrs",0.00,0.00,0.00
2021-03-20,"18-39yrs",0.00,0.00,0.01
2021-03-20,"40-59yrs",0.00,0.00,0.04
2021-03-20,"60+",0.00,0.00,0.27
2021-03-20,"ALL",0.00,0.00,0.08
2021-03-21,"0-4yrs",0.00,0.00,0.00
2021-03-21,"5-11yrs",0.00,0.00,0.00
2021-03-21,"12-17yrs",0.00,0.00,0.00
2021-03-21,"18-39yrs",0.00,0.00,0.01
2021-03-21,"40-59yrs",0.00,0.00,0.04
2021-03-21,"60+",0.00,0.00,0.26
2021-03-21,"ALL",0.00,0.00,0.08
2021-03-22,"0-4yrs",0.00,0.00,0.00
2021-03-22,"5-11yrs",0.00,0.00,0.00
2021-03-22,"12-17yrs",0.00,0.00,0.00
2021-03-22,"18-39yrs",0.00,0.00,0.01
2021-03-22,"40-59yrs",0.00,0.00,0.04
2021-03-22,"60+",0.00,0.00,0.26
2021-03-22,"ALL",0.00,0.00,0.08
2021-03-23,"0-4yrs",0.00,0.00,0.00
2021-03-23,"5-11yrs",0.00,0.00,0.00
2021-03-23,"12-17yrs",0.00,0.00,0.00
2021-03-23,"18-39yrs",0.00,0.00,0.01
2021-03-23,"40-59yrs",0.00,0.00,0.04
2021-03-23,"60+",0.00,0.00,0.28
2021-03-23,"ALL",0.00,0.00,0.08
2021-03-24,"0-4yrs",0.00,0.00,0.00
2021-03-24,"5-11yrs",0.00,0.00,0.00
2021-03-24,"12-17yrs",0.00,0.00,0.00
2021-03-24,"18-39yrs",0.00,0.00,0.01
2021-03-24,"40-59yrs",0.00,0.00,0.03
2021-03-24,"60+",0.00,0.00,0.30
2021-03-24,"ALL",0.00,0.00,0.08
2021-03-25,"0-4yrs",0.00,0.00,0.00
2021-03-25,"5-11yrs",0.00,0.00,0.00
2021-03-25,"12-17yrs",0.00,0.00,0.00
2021-03-25,"18-39yrs",0.00,0.00,0.01
2021-03-25,"40-59yrs",0.00,0.00,0.03
2021-03-25,"60+",0.00,0.00,0.32
2021-03-25,"ALL",0.00,0.00,0.09
2021-03-26,"0-4yrs",0.00,0.00,0.00
2021-03-26,"5-11yrs",0.00,0.00,0.00
2021-03-26,"12-17yrs",0.00,0.00,0.00
2021-03-26,"18-39yrs",0.00,0.00,0.01
2021-03-26,"40-59yrs",0.00,0.00,0.03
2021-03-26,"60+",0.00,0.00,0.35
2021-03-26,"ALL",0.00,0.00,0.09
2021-03-27,"0-4yrs",0.00,0.00,0.00
2021-03-27,"5-11yrs",0.00,0.00,0.00
2021-03-27,"12-17yrs",0.00,0.00,0.00
2021-03-27,"18-39yrs",0.00,0.00,0.00
2021-03-27,"40-59yrs",0.00,0.00,0.02
2021-03-27,"60+",0.00,0.00,0.36
2021-03-27,"ALL",0.00,0.00,0.09
2021-03-28,"0-4yrs",0.00,0.00,0.00
2021-03-28,"5-11yrs",0.00,0.00,0.00
2021-03-28,"12-17yrs",0.00,0.00,0.00
2021-03-28,"18-39yrs",0.00,0.00,0.00
2021-03-28,"40-59yrs",0.00,0.00,0.03
2021-03-28,"60+",0.00,0.10,0.41
2021-03-28,"ALL",0.00,0.05,0.10
2021-03-29,"0-4yrs",0.00,0.00,0.00
2021-03-29,"5-11yrs",0.00,0.00,0.00
2021-03-29,"12-17yrs",0.00,0.00,0.00
2021-03-29,"18-39yrs",0.00,0.00,0.00
2021-03-29,"40-59yrs",0.00,0.00,0.03
2021-03-29,"60+",0.00,0.10,0.45
2021-03-29,"ALL",0.00,0.05,0.11
2021-03-30,"0-4yrs",0.00,0.00,0.00
2021-03-30,"5-11yrs",0.00,0.00,0.00
2021-03-30,"12-17yrs",0.00,0.00,0.00
2021-03-30,"18-39yrs",0.00,0.00,0.00
2021-03-30,"40-59yrs",0.00,0.00,0.02
2021-03-30,"60+",0.00,0.10,0.47
2021-03-30,"ALL",0.00,0.05,0.12
2021-03-31,"0-4yrs",0.00,0.00,0.00
2021-03-31,"5-11yrs",0.00,0.00,0.00
2021-03-31,"12-17yrs",0.00,0.00,0.00
2021-03-31,"18-39yrs",0.00,0.00,0.00
2021-03-31,"40-59yrs",0.00,0.00,0.02
2021-03-31,"60+",0.00,0.10,0.47
2021-03-31,"ALL",0.00,0.05,0.12
2021-04-01,"0-4yrs",0.00,0.00,0.00
2021-04-01,"5-11yrs",0.00,0.00,0.00
2021-04-01,"12-17yrs",0.00,0.00,0.00
2021-04-01,"18-39yrs",0.00,0.00,0.00
2021-04-01,"40-59yrs",0.00,0.00,0.01
2021-04-01,"60+",0.00,0.10,0.47
2021-04-01,"ALL",0.00,0.05,0.11
2021-04-02,"0-4yrs",0.00,0.00,0.00
2021-04-02,"5-11yrs",0.00,0.00,0.00
2021-04-02,"12-17yrs",0.00,0.00,0.00
2021-04-02,"18-39yrs",0.00,0.00,0.00
2021-04-02,"40-59yrs",0.00,0.00,0.01
2021-04-02,"60+",0.00,0.10,0.47
2021-04-02,"ALL",0.00,0.05,0.11
2021-04-03,"0-4yrs",0.00,0.00,0.00
2021-04-03,"5-11yrs",0.00,0.00,0.00
2021-04-03,"12-17yrs",0.00,0.00,0.00
2021-04-03,"18-39yrs",0.00,0.00,0.00
2021-04-03,"40-59yrs",0.00,0.00,0.02
2021-04-03,"60+",0.00,0.10,0.44
2021-04-03,"ALL",0.00,0.05,0.11
2021-04-04,"0-4yrs",0.00,0.00,0.00
2021-04-04,"5-11yrs",0.00,0.00,0.00
2021-04-04,"12-17yrs",0.00,0.00,0.00
2021-04-04,"18-39yrs",0.00,0.00,0.00
2021-04-04,"40-59yrs",0.00,0.00,0.02
2021-04-04,"60+",0.00,0.00,0.42
2021-04-04,"ALL",0.00,0.00,0.11
2021-04-05,"0-4yrs",0.00,0.00,0.00
2021-04-05,"5-11yrs",0.00,0.00,0.00
2021-04-05,"12-17yrs",0.00,0.00,0.00
2021-04-05,"18-39yrs",0.00,0.00,0.00
2021-04-05,"40-59yrs",0.00,0.00,0.02
2021-04-05,"60+",0.00,0.00,0.45
2021-04-05,"ALL",0.00,0.00,0.11
2021-04-06,"0-4yrs",0.00,0.00,0.00
2021-04-06,"5-11yrs",0.00,0.00,0.00
2021-04-06,"12-17yrs",0.00,0.00,0.00
2021-04-06,"18-39yrs",0.00,0.00,0.01
2021-04-06,"40-59yrs",0.00,0.00,0.05
2021-04-06,"60+",0.00,0.00,0.43
2021-04-06,"ALL",0.00,0.00,0.12
2021-04-07,"0-4yrs",0.00,0.00,0.00
2021-04-07,"5-11yrs",0.00,0.00,0.00
2021-04-07,"12-17yrs",0.00,0.00,0.00
2021-04-07,"18-39yrs",0.00,0.00,0.00
2021-04-07,"40-59yrs",0.00,0.00,0.05
2021-04-07,"60+",0.00,0.00,0.42
2021-04-07,"ALL",0.00,0.00,0.11
2021-04-08,"0-4yrs",0.00,0.00,0.00
2021-04-08,"5-11yrs",0.00,0.00,0.00
2021-04-08,"12-17yrs",0.00,0.00,0.00
2021-04-08,"18-39yrs",0.00,0.00,0.00
2021-04-08,"40-59yrs",0.00,0.00,0.05
2021-04-08,"60+",0.00,0.09,0.45
2021-04-08,"ALL",0.00,0.04,0.12
2021-04-09,"0-4yrs",0.00,0.00,0.00
2021-04-09,"5-11yrs",0.00,0.00,0.00
2021-04-09,"12-17yrs",0.00,0.00,0.00
2021-04-09,"18-39yrs",0.00,0.00,0.01
2021-04-09,"40-59yrs",0.00,0.00,0.05
2021-04-09,"60+",0.00,0.09,0.44
2021-04-09,"ALL",0.00,0.04,0.12
2021-04-10,"0-4yrs",0.00,0.00,0.00
2021-04-10,"5-11yrs",0.00,0.00,0.00
2021-04-10,"12-17yrs",0.00,0.00,0.00
2021-04-10,"18-39yrs",0.00,0.00,0.01
2021-04-10,"40-59yrs",0.00,0.00,0.04
2021-04-10,"60+",0.00,0.09,0.52
2021-04-10,"ALL",0.00,0.04,0.14
2021-04-11,"0-4yrs",0.00,0.00,0.00
2021-04-11,"5-11yrs",0.00,0.00,0.00
2021-04-11,"12-17yrs",0.00,0.00,0.00
2021-04-11,"18-39yrs",0.00,0.00,0.01
2021-04-11,"40-59yrs",0.00,0.00,0.06
2021-04-11,"60+",0.00,0.09,0.56
2021-04-11,"ALL",0.00,0.04,0.15
2021-04-12,"0-4yrs",0.00,0.00,0.00
2021-04-12,"5-11yrs",0.00,0.00,0.00
2021-04-12,"12-17yrs",0.00,0.00,0.00
2021-04-12,"18-39yrs",0.00,0.00,0.01
2021-04-12,"40-59yrs",0.00,0.00,0.06
2021-04-12,"60+",0.00,0.09,0.54
2021-04-12,"ALL",0.00,0.04,0.15
2021-04-13,"0-4yrs",0.00,0.00,0.00
2021-04-13,"5-11yrs",0.00,0.00,0.00
2021-04-13,"12-17yrs",0.00,0.00,0.00
2021-04-13,"18-39yrs",0.00,0.00,0.01
2021-04-13,"40-59yrs",0.00,0.00,0.04
2021-04-13,"60+",0.00,0.09,0.60
2021-04-13,"ALL",0.00,0.04,0.15
2021-04-14,"0-4yrs",0.00,0.00,0.00
2021-04-14,"5-11yrs",0.00,0.00,0.00
2021-04-14,"12-17yrs",0.00,0.00,0.00
2021-04-14,"18-39yrs",0.00,0.00,0.01
2021-04-14,"40-59yrs",0.00,0.00,0.06
2021-04-14,"60+",0.00,0.09,0.67
2021-04-14,"ALL",0.00,0.04,0.18
2021-04-15,"0-4yrs",0.00,0.00,0.00
2021-04-15,"5-11yrs",0.00,0.00,0.00
2021-04-15,"12-17yrs",0.00,0.00,0.00
2021-04-15,"18-39yrs",0.00,0.00,0.01
2021-04-15,"40-59yrs",0.00,0.00,0.06
2021-04-15,"60+",0.00,0.00,0.66
2021-04-15,"ALL",0.00,0.00,0.17
2021-04-16,"0-4yrs",0.00,0.00,0.00
2021-04-16,"5-11yrs",0.00,0.00,0.00
2021-04-16,"12-17yrs",0.00,0.00,0.00
2021-04-16,"18-39yrs",0.00,0.00,0.01
2021-04-16,"40-59yrs",0.00,0.00,0.06
2021-04-16,"60+",0.00,0.00,0.68
2021-04-16,"ALL",0.00,0.00,0.18
2021-04-17,"0-4yrs",0.00,0.00,0.00
2021-04-17,"5-11yrs",0.00,0.00,0.00
2021-04-17,"12-17yrs",0.00,0.00,0.00
2021-04-17,"18-39yrs",0.00,0.00,0.01
2021-04-17,"40-59yrs",0.00,0.00,0.09
2021-04-17,"60+",0.00,0.00,0.61
2021-04-17,"ALL",0.00,0.00,0.17
2021-04-18,"0-4yrs",0.00,0.00,0.00
2021-04-18,"5-11yrs",0.00,0.00,0.01
2021-04-18,"12-17yrs",0.00,0.00,0.00
2021-04-18,"18-39yrs",0.00,0.00,0.02
2021-04-18,"40-59yrs",0.00,0.00,0.08
2021-04-18,"60+",0.00,0.08,0.65
2021-04-18,"ALL",0.00,0.04,0.18
2021-04-19,"0-4yrs",0.00,0.00,0.00
